Song,Artist,Popularity
Solen,Thomas Stenström,22
Vibe Check,Hov1,36
Elevator Eyes,Tove Lo,52
bad idea right?,Olivia Rodrigo,53
Happy Again,LOVA,16
"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",DJ Khaled,0
Prada,cassö,35
Perfectly Damaged,Måns Zelmerlöw,12
The Hype,Sigrid,29
adore u,Fred again..,46
Closed Doors (feat. Roddy Ricch),Trippie Redd,37
HANNAH MONTANA,Sticky,28
Boomschmack,Henric Edström,14
Somebody,Nause,13
Goodbye Never Felt So Bad,James Bay,29
