Song,Artist,Popularity
Ålderdomshemmet,Miss Li,57
John Daly,Tjuvjakt,55
DOGTOOTH,"Tyler, The Creator",75
Say Say Say (feat. Paul McCartney & Michael Jackson),Kygo,71
Penny,Peg Parnevik,56
Framåt,Laleh,51
Softest Touch,Khalid,71
Ella mai,Sarettii,60
Bloody Mind,Cornelia Jakobs,44
Nattbuss,Fricky,54
YES,Nea,44
Call on Me,Bebe Rexha,67
Faster,Icona Pop,45
Never Be Mine,Rosa Linn,57
Airforce blue,waterbaby,47
